,ratings,review
1,5,"Awesome product very happy to hold this. Better In hand feel,matte finish. Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery.READ MORE"
2,5,"So beautiful, so elegant, just a vowww😍❤️READ MORE"
3,5,Totally happy!Camera 5Battery 5 Display 5Design 5READ MORE
4,5,for me its 10 out of 10✨READ MORE
5,5,Simply premium.READ MORE
6,5,Great!READ MORE
7,5,Awesome 🔥🔥☺️READ MORE
8,5,best camera and battery is also very good In love with dynamic Island Type-c charging is very fast. Overall best phoneREAD MORE
9,5,Using this Iphone 15 from 1month and it has best CameraREAD MORE
10,4,Awesome camra quality superb camra 😊READ MORE
11,5,Simply Awesome 🤩READ MORE
12,5,This is my first iphone ever used loving it already this is worth it 🥰READ MORE
13,5,Nice 🙂🙂🙂🙂🙂READ MORE
14,5,Thanks Flipkart I m glad such a beautiful iPhone 15READ MORE
15,5,Awesome phone powerful performance and battery backup are also very good no heating issue ☺️READ MORE
16,5,Camera is just wow. All classes clicks are done at night....phone Performance is awesome.... I'm writing now again for review...it's really maintained its premium imageREAD MORE
17,5,A Perfect Smartphone 😍❤️👌👌READ MORE
18,5,"The iPhone 15 exceeded my expectations in every way possible. The sleek design, stunning display, and lightning-fast performance make it a standout device in the smartphone market. The camera quality is unparalleled, capturing every moment with incredible detail and clarity. Plus, the battery life is impressive, easily lasting me throughout the day. With the added bonus of a great deal and discount, purchasing the iPhone 15 from Flipkart was an absolute steal.READ MORE"
19,4,Nice phone goodREAD MORE
20,5,Awesome quality I am very happy. Thank you Flipkart.READ MORE
21,5,moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.READ MORE
22,5,Camera 🔥READ MORE
23,5,Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing 🔥READ MORE
24,5,48 megapixel is lit🔥Thin bessels compared to 14Lesser in weightDynamic Island works perfectlyGood battery backup ⚡My rating 5/5READ MORE
25,5,Simply wow wow wow 😍❤️READ MORE
26,5,Super Good ProductREAD MORE
27,5,It's performance is super and nice camera also a ok battery backup..READ MORE
28,5,Camera is so goodREAD MORE
29,5,Absolutely premium product..just wowREAD MORE
30,5,Such a amazing phone 🫶🏻READ MORE
